student1_id,student2_id,student1_wins,student2_wins,num_ties,student1_stack,student2_stack
b09902018,b11902135,0,5,0,3943.0,6057.0
b10902020,b10902033,3,2,0,5554.0,4446.0
b10902034,b10902012,3,2,0,3935,6063.308243653876
t12902155,b10705044,4,1,0,6109,3891
b12902104,b10902112,0,5,0,2036.6666666666665,7943.0
b11902135,b11902106,5,0,0,6280.0,3720
b11902065,b10507008,1,4,0,5640,4360
b10902053,b10902109,1,4,0,3965.632857142857,6032.0
b09303113,b10204022,2,3,0,4357.552002314758,5632.798074710378
b11902145,b10902020,1,4,0,2620,7380
b10201026,b08209028,5,0,0,7778.0,2220.4000000000005
b10902024,b10902085,5,0,0,5152.59688395675,4829.43070037979
b11902145,b10902033,1,4,0,4875,5125.0
b10401008,b11902110,3,2,0,7000,3000
b10902024,b10902052,5,0,0,5315.726030642267,4667.47295901363
b11902145,b10902013,4,1,0,5380,4620
b11902027,b11902065,1,4,0,3794.950404583899,6197.643034754529
b09303113,b10902032,1,4,0,4672,5328
b10902113,b10204022,0,5,0,3897.8693347581984,6073.699061329762
b07401120,b10902022,3,0,2,5102.800000000001,4883.6
b10902053,b10902127,1,4,0,4880,5120.0
b09705048,b11902087,2,3,0,4991.0,5007.75
b11902156,b10902053,2,3,0,5377.0,4623.0
b10902007,b10902071,1,4,0,3870.0,6129.0
b10902031,b10902007,2,3,0,2333.905847575575,7657.011780659469
b11902065,b10902124,2,3,0,4680,5320
b10902007,b10902063,2,3,0,4950.326875,5040.297651554101
b10705013,b08705058,0,5,0,0,10000
b10902007,b10502058,1,4,0,5085.88,4909.08
b11902029,b10902118,0,5,0,3464.7073333333333,6533.4328
b10201026,b11902029,5,0,0,5419.700000000001,4579.200000000001
b11902029,b09508001,0,5,0,4955,5045.0
b11902029,b10505011,1,4,0,2116.0366194310577,7868.58711531331
b10902041,b11902065,2,3,0,2070,7930
b10902009,b10902053,5,0,0,5075.0,4925.0
b10505029,b06401036,1,4,0,4170,5830
b10902053,b10902091,3,2,0,7006.75,2991.0
b10902113,b09303113,3,2,0,4556.0,5441.1255
b10705013,b10902095,5,0,0,8421,1579
b11902140,b10705013,3,2,0,4232.341747876029,5752.755248218762
b10705013,r12246005,0,5,0,3282.0,6718.0
b11902044,b10705013,5,0,0,7099,2901
b08209028,b11902029,5,0,0,10000,0
b10902138,b11705057,4,1,0,5310.518518518518,4685.555555555555
b11705057,t12902103,2,3,0,3880,6119
