name: baseline1, hole_card: ['HA', 'CT']
name: b10505029, hole_card: ['C8', 'H3']
name: baseline1, hole_card: ['HA', 'CT']
name: b10505029, hole_card: ['C8', 'H3']
name: baseline1, hole_card: ['HA', 'CT']
name: b10505029, hole_card: ['C8', 'H3']
name: baseline1, hole_card: ['HA', 'CT']
name: b10505029, hole_card: ['C8', 'H3']
name: baseline1, hole_card: ['HA', 'CT']
name: b10505029, hole_card: ['C8', 'H3']
name: baseline1, hole_card: ['HA', 'CT']
name: b10505029, hole_card: ['C8', 'H3']
name: baseline1, hole_card: ['HA', 'CT']
name: b10505029, hole_card: ['C8', 'H3']
