name: baseline1, hole_card: ['ST', 'C3']
name: b09901028, hole_card: ['H8', 'CQ']
name: baseline1, hole_card: ['ST', 'C3']
name: b09901028, hole_card: ['H8', 'CQ']
name: baseline1, hole_card: ['ST', 'C3']
name: b09901028, hole_card: ['H8', 'CQ']
name: baseline1, hole_card: ['ST', 'C3']
name: b09901028, hole_card: ['H8', 'CQ']
name: baseline1, hole_card: ['ST', 'C3']
name: b09901028, hole_card: ['H8', 'CQ']
name: baseline1, hole_card: ['ST', 'C3']
community cards of this round: ['HA', 'D7', 'S9', 'H6', 'S3']
name: b09901028, hole_card: ['S6', 'HQ']
name: baseline1, hole_card: ['S5', 'SA']
name: b09901028, hole_card: ['S6', 'HQ']
name: baseline1, hole_card: ['S5', 'SA']
