name: baseline1, hole_card: ['S2', 'C4']
name: b10902076, hole_card: ['DJ', 'DA']
name: baseline1, hole_card: ['S2', 'C4']
name: b10902076, hole_card: ['DJ', 'DA']
name: baseline1, hole_card: ['S2', 'C4']
community cards of this round: ['CT', 'C3', 'S6', 'S2', 'C8']
name: b10902076, hole_card: ['HJ', 'H7']
name: baseline1, hole_card: ['ST', 'SA']
name: b10902076, hole_card: ['HJ', 'H7']
name: baseline1, hole_card: ['ST', 'SA']
name: b10902076, hole_card: ['HJ', 'H7']
name: baseline1, hole_card: ['ST', 'SA']
name: b10902076, hole_card: ['HJ', 'H7']
