name: b11902067, hole_card: ['SJ', 'S3']
name: baseline1, hole_card: ['S4', 'H5']
name: b11902067, hole_card: ['SJ', 'S3']
name: baseline1, hole_card: ['S4', 'H5']
community cards of this round: ['H7', 'C7', 'D3', 'DT', 'HT']
name: b11902067, hole_card: ['C2', 'CJ']
name: baseline1, hole_card: ['D4', 'S9']
name: b11902067, hole_card: ['C2', 'CJ']
name: baseline1, hole_card: ['D4', 'S9']
name: b11902067, hole_card: ['C2', 'CJ']
name: baseline1, hole_card: ['D4', 'S9']
name: b11902067, hole_card: ['C2', 'CJ']
name: baseline1, hole_card: ['D4', 'S9']
name: b11902067, hole_card: ['C2', 'CJ']
name: baseline1, hole_card: ['D4', 'S9']
name: b11902067, hole_card: ['C2', 'CJ']
name: baseline1, hole_card: ['D4', 'S9']
community cards of this round: ['H2', 'S2', 'C7', 'S4', 'CJ']
name: b11902067, hole_card: ['HA', 'D8']
name: baseline1, hole_card: ['C8', 'SJ']
name: b11902067, hole_card: ['HA', 'D8']
name: baseline1, hole_card: ['C8', 'SJ']
name: b11902067, hole_card: ['HA', 'D8']
name: baseline1, hole_card: ['C8', 'SJ']
name: b11902067, hole_card: ['HA', 'D8']
name: baseline1, hole_card: ['C8', 'SJ']
name: b11902067, hole_card: ['HA', 'D8']
name: baseline1, hole_card: ['C8', 'SJ']
name: b11902067, hole_card: ['HA', 'D8']
name: baseline1, hole_card: ['C8', 'SJ']
name: b11902067, hole_card: ['HA', 'D8']
name: baseline1, hole_card: ['C8', 'SJ']
name: b11902067, hole_card: ['HA', 'D8']
name: baseline1, hole_card: ['C8', 'SJ']
name: b11902067, hole_card: ['HA', 'D8']
name: baseline1, hole_card: ['C8', 'SJ']
name: b11902067, hole_card: ['HA', 'D8']
name: baseline1, hole_card: ['C8', 'SJ']
community cards of this round: ['HT', 'HJ', 'D7', 'H8', 'DT']
name: b11902067, hole_card: ['S5', 'SK']
