name: baseline1, hole_card: ['C7', 'D2']
name: b10902075, hole_card: ['CK', 'S5']
community cards of this round: ['SK', 'S8', 'H4', 'C2', 'S2']
name: baseline1, hole_card: ['SA', 'SQ']
name: b10902075, hole_card: ['S5', 'D4']
name: baseline1, hole_card: ['SA', 'SQ']
name: b10902075, hole_card: ['S5', 'D4']
community cards of this round: ['H3', 'H9', 'C9', 'D5', 'CT']
name: baseline1, hole_card: ['D4', 'CA']
name: b10902075, hole_card: ['C7', 'CK']
name: baseline1, hole_card: ['D4', 'CA']
name: b10902075, hole_card: ['C7', 'CK']
name: baseline1, hole_card: ['D4', 'CA']
name: b10902075, hole_card: ['C7', 'CK']
community cards of this round: ['H2', 'DQ', 'S6', 'S8', 'HJ']
name: baseline1, hole_card: ['CT', 'CJ']
name: b10902075, hole_card: ['D9', 'S7']
name: baseline1, hole_card: ['CT', 'CJ']
name: b10902075, hole_card: ['D9', 'S7']
community cards of this round: ['C4', 'CQ', 'S9', 'D8', 'S7']
name: baseline1, hole_card: ['C2', 'C8']
name: b10902075, hole_card: ['D3', 'SK']
name: baseline1, hole_card: ['C2', 'C8']
name: b10902075, hole_card: ['D3', 'SK']
name: baseline1, hole_card: ['C2', 'C8']
name: b10902075, hole_card: ['D3', 'SK']
community cards of this round: ['HJ', 'SA', 'C6', 'SQ', 'SJ']
name: baseline1, hole_card: ['H8', 'D8']
name: b10902075, hole_card: ['CT', 'S2']
name: baseline1, hole_card: ['H8', 'D8']
name: b10902075, hole_card: ['CT', 'S2']
community cards of this round: ['ST', 'CT', 'C8', 'DA', 'D7']
name: baseline1, hole_card: ['H9', 'H7']
name: b10902075, hole_card: ['DQ', 'S9']
name: baseline1, hole_card: ['H9', 'H7']
name: b10902075, hole_card: ['DQ', 'S9']
name: baseline1, hole_card: ['H9', 'H7']
name: b10902075, hole_card: ['DQ', 'S9']
community cards of this round: ['HQ', 'C5', 'ST', 'S3', 'C3']
name: baseline1, hole_card: ['D8', 'SJ']
name: b10902075, hole_card: ['D3', 'H3']
name: baseline1, hole_card: ['D8', 'SJ']
name: b10902075, hole_card: ['D3', 'H3']
community cards of this round: ['H6', 'HA', 'C9', 'SA', 'DJ']
name: baseline1, hole_card: ['CT', 'H2']
name: b10902075, hole_card: ['S3', 'SQ']
name: baseline1, hole_card: ['CT', 'H2']
name: b10902075, hole_card: ['S3', 'SQ']
name: baseline1, hole_card: ['CT', 'H2']
name: b10902075, hole_card: ['S3', 'SQ']
community cards of this round: ['H9', 'H7', 'D6', 'CQ', 'CA']
name: baseline1, hole_card: ['C6', 'H4']
name: b10902075, hole_card: ['H6', 'DK']
name: baseline1, hole_card: ['C6', 'H4']
name: b10902075, hole_card: ['H6', 'DK']
community cards of this round: ['HQ', 'H4', 'C5', 'H3', 'CJ']
name: baseline1, hole_card: ['S5', 'S9']
name: b10902075, hole_card: ['CA', 'C4']
name: baseline1, hole_card: ['S5', 'S9']
name: b10902075, hole_card: ['CA', 'C4']
name: baseline1, hole_card: ['S5', 'S9']
name: b10902075, hole_card: ['CA', 'C4']
b10902075 vs baseline1 - Game 3: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'qafxqciidjhskycbsqoyww', 'stack': 777.625, 'state': 'participating'}, {'name': 'b10902075', 'uuid': 'kjfyslixtoqriketwyrqzz', 'stack': 1221, 'state': 'participating'}]}
community cards of this round: ['C5', 'SA', 'D2', 'CK', 'HJ']
name: b10902075, hole_card: ['DA', 'CA']
name: baseline1, hole_card: ['DQ', 'DT']
name: b10902075, hole_card: ['DA', 'CA']
name: baseline1, hole_card: ['DQ', 'DT']
name: b10902075, hole_card: ['DA', 'CA']
name: baseline1, hole_card: ['DQ', 'DT']
name: b10902075, hole_card: ['DA', 'CA']
name: baseline1, hole_card: ['DQ', 'DT']
name: b10902075, hole_card: ['DA', 'CA']
name: baseline1, hole_card: ['DQ', 'DT']
name: b10902075, hole_card: ['DA', 'CA']
name: baseline1, hole_card: ['DQ', 'DT']
name: b10902075, hole_card: ['DA', 'CA']
name: baseline1, hole_card: ['DQ', 'DT']
