name: b10502058, hole_card: ['S2', 'S6']
name: baseline1, hole_card: ['H8', 'HK']
name: b10502058, hole_card: ['S2', 'S6']
community cards of this round: ['H2', 'H8', 'H6', 'H3', 'H9']
name: baseline1, hole_card: ['C7', 'HA']
name: b10502058, hole_card: ['D6', 'D7']
name: baseline1, hole_card: ['C7', 'HA']
name: b10502058, hole_card: ['D6', 'D7']
name: baseline1, hole_card: ['C7', 'HA']
name: b10502058, hole_card: ['D6', 'D7']
community cards of this round: ['S8', 'H3', 'D6', 'DT', 'C6']
name: baseline1, hole_card: ['S2', 'D9']
name: b10502058, hole_card: ['CJ', 'DJ']
name: baseline1, hole_card: ['S2', 'D9']
name: b10502058, hole_card: ['CJ', 'DJ']
community cards of this round: ['DJ', 'D6', 'SJ', 'DK', 'C6']
name: baseline1, hole_card: ['DQ', 'CT']
name: b10502058, hole_card: ['HK', 'H7']
name: baseline1, hole_card: ['DQ', 'CT']
name: b10502058, hole_card: ['HK', 'H7']
name: baseline1, hole_card: ['DQ', 'CT']
name: b10502058, hole_card: ['HK', 'H7']
community cards of this round: ['S2', 'S3', 'H6', 'CT', 'D6']
name: baseline1, hole_card: ['DT', 'H2']
name: b10502058, hole_card: ['CJ', 'SQ']
name: baseline1, hole_card: ['DT', 'H2']
name: b10502058, hole_card: ['CJ', 'SQ']
community cards of this round: ['SA', 'D9', 'D5', 'C7', 'D3']
name: baseline1, hole_card: ['DJ', 'SQ']
name: b10502058, hole_card: ['DK', 'D8']
name: baseline1, hole_card: ['DJ', 'SQ']
name: b10502058, hole_card: ['DK', 'D8']
name: baseline1, hole_card: ['DJ', 'SQ']
name: b10502058, hole_card: ['DK', 'D8']
community cards of this round: ['H9', 'D5', 'DQ', 'S6', 'HJ']
name: baseline1, hole_card: ['D9', 'CT']
name: b10502058, hole_card: ['S8', 'H2']
name: baseline1, hole_card: ['D9', 'CT']
name: b10502058, hole_card: ['S8', 'H2']
community cards of this round: ['S8', 'C3', 'DQ', 'HA', 'SK']
name: baseline1, hole_card: ['C2', 'D9']
name: b10502058, hole_card: ['HK', 'DT']
